odonym,lat,lon
Ponte Vittorio Emanuele III,45.1025976,7.7635790
Vicolo Vittorio Emanuele III,45.2370752,8.3711259
Via Vittorio Emanuele III,45.4387094,8.4223183
Via Vittorio Emanuele III,45.4357110,8.4680810
Via Vittorio Emanuele III,45.4853930,8.4931049
Piazza Vittorio Emanuele III,45.4967128,8.4230392
Via Vittorio Emanuele III,44.2885839,7.8061345
Via Vittorio Emanuele III,44.3073271,7.1748527
Via Vittorio Emanuele III,44.4236593,7.7602966
Via Vittorio Emanuele III,44.4610776,7.6644233
Via Vittorio Emanuele III,44.6544792,7.3867246
Corso Vittorio Emanuele III,44.7617445,7.3151859
Via Vittorio Emanuele III,44.7614061,7.6807405
Piazza Vittorio Emanuele III,44.7285002,8.1451148
Piazza Vittorio Emanuele III,44.8246774,8.2416537
Via Vittorio Emanuele III,44.9374521,8.3446148
Via Vittorio Emanuele III,44.9738845,8.1004327
Via Vittorio Emanuele III,45.0067062,8.1130593
Piazza Vittorio Emanuele III,45.0497465,8.2062219
Via Vittorio Emanuele III,45.0601484,8.1781822
Piazza Vittorio Emanuele III,45.0834900,8.4423887
Piazza Vittorio Emanuele III,44.0763267,7.9976370
Via Vittorio Emanuele III,44.1426410,9.8893134
Via Vittorio Emanuele III,45.5785494,8.9778791
Piazza Vittorio Emanuele III,45.6522996,9.6059036
Via Vittorio Emanuele III,45.5934524,10.0393604
Via Vittorio Emanuele III,45.6110635,9.9886413
Via Vittorio Emanuele III,45.0655726,8.9535297
Via Vittorio Emanuele III,45.3626730,9.5556650
Piazza Vittorio Emanuele III,45.4051621,9.5526841
Piazza Vittorio Emanuele III,46.1548444,11.7331125
Via Vittorio Emanuele III,46.4062775,11.0926897
Via Vittorio Emanuele III,45.1793337,11.0671770
Via Vittorio Emanuele III,45.3249530,11.5871646
Piazza Vittorio Emanuele III,45.7850227,12.2193509
Via Vittorio Emanuele III,45.8169162,11.9645042
Piazza Vittorio Emanuele III,45.8377039,12.3801043
Via Vittorio Emanuele III,45.1895294,11.7131000
Via Vittorio Emanuele III,45.1879101,11.7180498
Via Vittorio Emanuele III,45.2680917,12.1034028
Via Vittorio Emanuele III,45.3983281,11.7801240
Via Vittorio Emanuele III,45.6000728,11.7303580
Ponte Vittorio Emanuele III,46.2437013,13.4058438
Corso Vittorio Emanuele III,43.3930052,13.1299185
Corso Vittorio Emanuele III,42.8976022,13.7942460
Via Vittorio Emanuele III,43.2006623,10.7364290
Piazza Vittorio Emanuele III,42.9206665,12.3991983
Viale Vittorio Emanuele III,42.5878782,12.2943734
Via Vittorio Emanuele III,42.1564731,12.1377960
Via Vittorio Emanuele III,42.3468984,12.3626604
